Metabolite,HMDB ID,ref,primary,recurrent
PC aa C40:2,"HMDB0008688, HMDB0008276",0.017395148,0.229773447,0.393394241
PC aa C40:1,"HMDB0007993, HMDB0008052",0.019399924,0.205669569,0.293803226
C0,HMDB0000062,0.221574475,51.14870612,32.99238676
C2,HMDB0000201,0.134737917,9.102519632,10.8413287
C3:1,HMDB0013124,0.0256276,0.031977868,0.02619759
C3,HMDB0000824,0.082382155,0.311402761,0.103004631
C4:1,HMDB0013126,0.024024737,0.041776382,0.066703742
C4,HMDB0002013,0.048601782,0.25706618,0.108635375
C5:1,HMDB0002366,0.03047242,0.043691224,0.040219552
C5,HMDB0013128,0.025571368,0.092573178,0.077067173
C4OH,HMDB0013127,0.023670644,0.059119795,0.086697174
C6:1,HMDB0013161,0.02468365,0.080793334,0.088705388
C5OH,HMDB0013132,0.034118393,0.066114359,0.057765716
C5DC,HMDB0013130,0.019065371,0.021915476,0.022323403
C8,HMDB0000791,0.031645716,0.110347801,0.069725803
C9,HMDB0006320,0.011006936,0.05906051,0.087101555
C7DC,HMDB0013328,0.019987028,0.04215102,0.76058277
C10:2,"HMDB0241102, HMDB0241094",0.04902617,0.058058316,0.049564345
C10,HMDB0000651,0.05845231,0.106967279,0.081058815
C14,HMDB0005066,0.032047671,0.08604751,0.197439638
C16,HMDB0000222,0.02650475,0.126380556,0.096931286
C18:2,HMDB0006469,0.058089449,0.058623211,0.058948058
C18:1,HMDB0006464,0.041081458,0.131241334,0.128507739
PC aa C24:0,NA,0.076746964,0.085696913,0.141921583
PC aa C26:0,NA,0.090483268,0.575234652,0.591159176
PC aa C28:1,"HMDB0007867, HMDB0007899",0.027761394,3.002026783,4.319156608
PC ae C30:2,HMDB0013410,0.028742131,0.100423649,0.120579918
PC ae C30:1,"HMDB0013402, HMDB0013403",0.036436203,1.837370178,2.06586263
PC ae C30:0,HMDB0013341,0.095889034,0.49810676,0.501886459
PC aa C30:0,"HMDB0007869, HMDB0007934, HMDB0007965",0.107922398,4.738170344,6.737852998
PC ae C32:2,HMDB0013411,0.038723122,0.703508072,1.058182744
PC ae C32:1,HMDB0013404,0.036477219,3.410697351,3.733691601
PC aa C32:3,"HMDB0007875, HMDB0007876, HMDB0007907, HMDB0008131, HMDB0008163, HMDB0008196",0.020284055,0.839550723,0.611790753
PC aa C32:1,"HMDB0007872, HMDB0007873, HMDB0007904, HMDB0007969, HMDB0008001, HMDB0008032, HMDB0008064, HMDB0008097",0.058632988,35.9895289,41.57960544
PC aa C32:0,"HMDB0000564, HMDB0007871, HMDB0008031",0.067379825,13.78660988,18.94693854
PC ae C34:3,HMDB0013413,0.025987929,7.314956898,8.866288274
PC ae C34:2,HMDB0011151,0.033407901,12.55925002,15.86343175
PC ae C34:1,"HMDB0013412, HMDB0013424, HMDB0013426",0.037289751,11.63857237,13.2921548
PC ae C34:0,HMDB0013405,0.073138808,2.124445492,2.473474152
PC aa C34:4,"HMDB0007883, HMDB0007884, HMDB0007914, HMDB0007915, HMDB0007976, HMDB0008007, HMDB0008008, HMDB0008167, HMDB0008200, HMDB0008232, HMDB0008362, HMDB0008395, HMDB0008426, HMDB0008459",0.04203915,3.401847532,2.500860124
PC aa C34:3,"HMDB0007881, HMDB0007882, HMDB0007913, HMDB0007974, HMDB0007975, HMDB0008006, HMDB0008134, HMDB0008166, HMDB0008199, HMDB0008329, HMDB0008361, HMDB0008394",0.053725943,41.8644645,27.09655031
PC aa C34:2,"HMDB0007880, HMDB0007912, HMDB0007973, HMDB0008004, HMDB0008005, HMDB0008068, HMDB0008101, HMDB0008133, HMDB0008296, HMDB0008328",0.289445009,472.0918863,582.7561047
PC aa C34:1,"HMDB0007879, HMDB0007911, HMDB0007971, HMDB0007972, HMDB0008003, HMDB0008035, HMDB0008067, HMDB0008100, HMDB0008263, HMDB0008295",0.436932283,344.836735,406.6723353
PC ae C36:5,"HMDB0013415, HMDB0039528",0.031566944,8.949586431,11.62009257
PC ae C36:4,"HMDB0013407, HMDB0013435",0.025576448,15.71068523,21.89774509
PC ae C36:3,"HMDB0013425, HMDB0013429, HMDB0039527",0.013878051,9.390650561,12.14290633
PC ae C36:2,"HMDB0013418, HMDB0013428",0.022010342,15.75005537,17.47044504
PC ae C36:1,"HMDB0013414, HMDB0013427",0.046810404,9.804940612,10.81263737
PC aa C36:5,"HMDB0007890, HMDB0007891, HMDB0007922, HMDB0007984, HMDB0008015, HMDB0008016, HMDB0008075, HMDB0008108, HMDB0008140, HMDB0008141, HMDB0008171, HMDB0008204, HMDB0008235, HMDB0008236, HMDB0008430, HMDB0008463, HMDB0008495, HMDB0008624, HMDB0008656, HMDB0008689",0.06003711,16.43349733,17.17702173
PC aa C36:4,"HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623",0.146384729,194.0256457,236.8443286
PC aa C36:3,"HMDB0007921, HMDB0007980, HMDB0007981, HMDB0008012, HMDB0008040, HMDB0008041, HMDB0008072, HMDB0008105, HMDB0008136, HMDB0008137, HMDB0008168, HMDB0008201, HMDB0008332, HMDB0008364, HMDB0008397, HMDB0008591",0.12828408,181.2428194,202.6633117
PC aa C36:2,"HMDB0000593, HMDB0007888, HMDB0007920, HMDB0007979, HMDB0008011, HMDB0008039, HMDB0008070, HMDB0008071, HMDB0008103, HMDB0008135, HMDB0008299, HMDB0008331, HMDB0008559, HMDB0008590",0.120641569,275.9910087,372.3453881
PC aa C36:1,"HMDB0007887, HMDB0007919, HMDB0007978, HMDB0008010, HMDB0008037, HMDB0008038, HMDB0008069, HMDB0008102, HMDB0008266, HMDB0008298, HMDB0008526, HMDB0008558",0.122791707,82.15593802,106.7517472
PC ae C38:6,HMDB0013409,0.039268071,4.191314246,7.195622259
PC ae C38:5,HMDB0013432,0.015499668,13.9252803,20.12387076
PC ae C38:4,HMDB0013420,0.033341413,13.0262655,14.58437072
PC ae C38:3,"HMDB0013439, HMDB0013440",0.031396641,5.245382296,5.256041815
PC ae C38:2,"HMDB0013431, HMDB0013436",0.040288587,4.67764106,5.946093441
PC ae C38:1,"HMDB0013416, HMDB0013430",0.036061232,3.295544218,5.189176011
PC ae C38:0,"HMDB0013408, HMDB0013419",0.02478546,1.473167229,1.821140259
PC aa C38:5,"HMDB0007989, HMDB0007990, HMDB0008021, HMDB0008050, HMDB0008081, HMDB0008082, HMDB0008114, HMDB0008115, HMDB0008139, HMDB0008146, HMDB0008177, HMDB0008210, HMDB0008242, HMDB0008306, HMDB0008337, HMDB0008338, HMDB0008369, HMDB0008402, HMDB0008432, HMDB0008433, HMDB0008465, HMDB0008466, HMDB0008497, HMDB0008627, HMDB0008659, HMDB0008692",0.073217935,43.24521164,62.03677262
PC aa C38:4,"HMDB0007988, HMDB0008048, HMDB0008049, HMDB0008079, HMDB0008080, HMDB0008112, HMDB0008113, HMDB0008145, HMDB0008176, HMDB0008209, HMDB0008241, HMDB0008273, HMDB0008304, HMDB0008305, HMDB0008336, HMDB0008367, HMDB0008368, HMDB0008400, HMDB0008401, HMDB0008431, HMDB0008464, HMDB0008626",0.070003888,94.92715795,124.297596
PC aa C38:3,"HMDB0008020, HMDB0008046, HMDB0008047, HMDB0008078, HMDB0008111, HMDB0008144, HMDB0008175, HMDB0008208, HMDB0008271, HMDB0008272, HMDB0008303, HMDB0008334, HMDB0008335, HMDB0008366, HMDB0008399, HMDB0008594",0.023307923,62.88124059,61.04882323
SM C24:1,HMDB0012107,0.024761148,69.39621818,73.04164168
SM C24:0,HMDB0011697,0.048442949,18.99410535,25.58274973
PC aa C38:1,"HMDB0007894, HMDB0007926, HMDB0007986, HMDB0008018, HMDB0008044, HMDB0008076, HMDB0008109, HMDB0008268, HMDB0008269, HMDB0008300, HMDB0008529, HMDB0008561, HMDB0008756, HMDB0008788",0.044858595,5.014545527,9.080820942
PC ae C40:5,HMDB0013444,0.012250474,2.678796639,2.90848237
PC ae C40:4,HMDB0013442,0.026645758,2.156854602,2.198526027
PC ae C40:3,"HMDB0013445, HMDB0013446",0.022604663,1.077890615,1.179470925
PC ae C40:2,HMDB0013437,0.034316118,0.957917272,1.44979857
PC ae C40:1,HMDB0013433,0.017347694,1.213666384,1.587797441
PC aa C40:5,"HMDB0008055, HMDB0008056, HMDB0008087, HMDB0008120, HMDB0008185, HMDB0008218, HMDB0008250, HMDB0008281, HMDB0008312, HMDB0008313, HMDB0008343, HMDB0008344, HMDB0008375, HMDB0008407, HMDB0008439, HMDB0008472, HMDB0008504, HMDB0008568, HMDB0008599, HMDB0008600, HMDB0008629, HMDB0008630, HMDB0008661, HMDB0008694",0.02595683,9.002065083,10.01485336
PC aa C40:4,"HMDB0008054, HMDB0008152, HMDB0008184, HMDB0008217, HMDB0008249, HMDB0008279, HMDB0008280, HMDB0008310, HMDB0008311, HMDB0008342, HMDB0008374, HMDB0008438, HMDB0008471, HMDB0008536, HMDB0008566, HMDB0008567, HMDB0008598, HMDB0008628, HMDB0011201",0.020534333,3.891392658,4.24447196
PC aa C40:3,"HMDB0008086, HMDB0008119, HMDB0008151, HMDB0008183, HMDB0008216, HMDB0008277, HMDB0008278, HMDB0008309, HMDB0008341, HMDB0008373, HMDB0008406, HMDB0008534, HMDB0008535, HMDB0008565, HMDB0008596, HMDB0008597",0.032606763,0.653161732,0.828044563
SM C26:1,HMDB0013461,0.029265726,0.410352601,0.616474123
SM C26:0,HMDB0011698,0.020138284,0.228323078,0.306502217
PC ae C42:5,HMDB0013451,0.027494009,1.029424909,1.107620583
PC ae C42:4,"HMDB0013448, HMDB0013454",0.013327444,0.785719791,0.783231082
PC ae C42:3,"HMDB0013458, HMDB0013459",0.043598091,0.633615732,0.682923362
PC ae C42:2,HMDB0013438,0.039410046,0.440797333,0.456706411
PC ae C42:1,"HMDB0013434, HMDB0013447",0.028761454,0.281190839,0.352489326
PC ae C42:0,"HMDB0013423, HMDB0013443",0.039791173,0.121045168,0.231909066
PC aa C42:6,"HMDB0008288, HMDB0008319, HMDB0008320, HMDB0008351, HMDB0008448, HMDB0008481, HMDB0008513, HMDB0008576, HMDB0008607, HMDB0008608, HMDB0008637, HMDB0008669, HMDB0008702, HMDB0008734",0.036007272,0.131757325,0.246847958
PC aa C42:5,"HMDB0008257, HMDB0008286, HMDB0008287, HMDB0008318, HMDB0008383, HMDB0008415, HMDB0008447, HMDB0008480, HMDB0008512, HMDB0008544, HMDB0008574, HMDB0008575, HMDB0008605, HMDB0008606, HMDB0008636, HMDB0008668, HMDB0008701, HMDB0008799",0.018062629,0.129345245,0.272457796
PC aa C42:4,"HMDB0008191, HMDB0008224, HMDB0008256, HMDB0008285, HMDB0008350, HMDB0008382, HMDB0008414, HMDB0008446, HMDB0008479, HMDB0008542, HMDB0008543, HMDB0008572, HMDB0008573, HMDB0008604, HMDB0008635, HMDB0008766, HMDB0008797, HMDB0008798",0.018635192,0.108458476,0.162196177
PC aa C42:2,"HMDB0008092, HMDB0008125, HMDB0008157, HMDB0008284, HMDB0008316, HMDB0008348, HMDB0008539, HMDB0008570, HMDB0008602, HMDB0008763, HMDB0008794, HMDB0008795",0.022925502,0.075252584,0.13373971
PC aa C42:1,"HMDB0008059, HMDB0008091, HMDB0008124, HMDB0008283, HMDB0008315, HMDB0008538, HMDB0008569, HMDB0008761, HMDB0008762, HMDB0008793",0.051658472,0.152644954,0.153303303
PC aa C42:0,"HMDB0008058, HMDB0008282, HMDB0008537, HMDB0008760",0.033730771,0.271014681,0.245427211
PC ae C44:6,"HMDB0013450, HMDB0013457",0.041384236,0.713686549,0.571953365
PC ae C44:5,HMDB0013456,0.021921277,0.820538317,0.86006037
PC ae C44:4,"HMDB0013453, HMDB0013455, HMDB0013460",0.021514994,0.317339398,0.290954089
PC ae C44:3,"HMDB0013449, HMDB0013452",0.03735123,0.110601526,0.128049535
Cer(d16:1/18:0),NA,0.054505406,0.083958041,0.058919916
Cer(d16:1/22:0),NA,0.01245368,0.129617691,0.101351201
Cer(d16:1/24:0),NA,0.018465482,0.121260014,0.16151677
Cer(d18:1/16:0),HMDB00790,0.031971261,0.434260395,0.543564669
Cer(d18:1/18:0),HMDB00829,0.010383361,0.170233614,0.252314225
Cer(d18:1/22:0),HMDB04952,0.01971152,0.654822811,0.480105062
Cer(d18:1/23:0),HMDB00950,0.026195372,0.415699146,0.401964875
Cer(d18:1/24:0),HMDB04956,0.015069149,1.529272448,1.381767392
Cer(d18:1/24:1),HMDB04953,0.032850101,0.602862951,0.736180989
Cer(d18:2/22:0),NA,0.010141111,0.228543824,0.14932137
Cer(d18:2/24:0),NA,0.010438487,0.346138525,0.245060742
Cer(d18:2/24:1),HMDB0240680,0.014016637,0.181471241,0.071803557
CE(14:0),HMDB06725,0.234925387,5.804645949,6.791269941
CE(16:0),HMDB05188,0.434510441,71.44152363,95.1090129
CE(16:1),HMDB05197,0.596334426,38.13600694,56.65148125
CE(17:0),HMDB60059,0.126409173,0.44310697,0.631821958
CE(17:1),HMDB60060,0.256212264,1.791956316,2.709546771
CE(18:0),HMDB10368,0.231671357,7.195824344,11.1093962
CE(18:1),HMDB05191,0.368040593,222.2278852,311.1941655
CE(18:2),HMDB05192,0.510293208,734.1164453,976.2034454
CE(18:3),HMDB10369,0.21760017,55.68795344,32.40891283
CE(20:3),HMDB06736,0.111013311,15.97311655,18.41191669
CE(20:4),HMDB06726,0.110610352,110.928642,157.6355032
CE(20:5),HMDB06731,0.512766493,6.980875567,10.8246928
CE(22:5),HMDB10374,0.113718202,1.162320042,1.441636799
CE(22:6),HMDB06733,0.063977987,6.029820193,9.77444407
DG(14:0_18:1),HMDB07014,0.088409221,0.294117495,0.178493402
DG(14:0_18:2),HMDB07016,0.065982033,0.378930328,0.242452968
DG(14:0_20:0),HMDB07020,0.128127441,1.327119189,2.115384915
DG(16:0_16:0),HMDB07098,0.179951284,4.777211005,5.756123121
DG(16:0_16:1),HMDB07099,0.027096119,0.892153542,1.269251723
DG(16:0_18:1),HMDB07101,0.026969773,3.155946765,2.089423278
DG(16:0_18:2),HMDB07103,0.051116108,1.678047785,0.927800919
DG(16:0_20:0),HMDB07107,0.033783975,0.74634609,0.790498914
DG(16:1_18:1),HMDB07130,0.1582646,3.074409973,4.375534877
DG(16:1_18:2),HMDB07132,0.096475205,0.756248072,0.504733681
DG(16:1_20:0),HMDB07136,0.074778462,0.509108402,0.549265725
DG(17:0_17:1),NA,0.01503075,0.190295496,0.23751962
DG(17:0_18:1),HMDB0295723,0.010862691,0.357526096,0.428133017
DG(18:0_20:0),HMDB07165,0.172130223,0.257024573,0.337725695
DG(18:1_18:1),HMDB07188,0.035594192,7.7699783,5.666973119
DG(18:1_18:2),HMDB07190,0.016085808,4.186498351,2.701749136
DG(18:1_18:3),HMDB07191,0.021209666,0.407771915,0.356280713
DG(18:1_20:3),HMDB07197,0.01228371,0.10379832,0.089067934
DG(18:1_20:4),HMDB07199,0.010923114,0.160635662,0.170712579
DG(18:1_22:6),HMDB07208,0.067383846,0.860035003,1.227161991
DG(18:2_18:2),HMDB07248,0.03506257,1.888132729,1.922417856
Hex2Cer(d18:1/14:0),NA,0.006727587,0.250181325,0.154660418
Hex2Cer(d18:1/16:0),HMDB0006750,0.014307631,3.70270349,2.150501985
Hex2Cer(d18:1/18:0),HMDB0011591,0.010368852,0.277550107,0.119673804
Hex2Cer(d18:1/20:0),HMDB0011593,0.014632859,0.109454059,0.071341628
Hex2Cer(d18:1/22:0),HMDB0011594,0.011890817,0.200144412,0.154660418
Hex2Cer(d18:1/24:0),HMDB0011595,0.075819827,0.153238925,0.154655328
Hex2Cer(d18:1/24:1),HMDB04872,0.012415141,0.444066125,0.618644215
Hex3Cer(d18:1/16:0),HMDB0004879,0.015417889,0.093817457,0.18043673
Hex3Cer(d18:1/18:0),HMDB0004880,0.01364177,0.031274286,0.044188327
Hex3Cer(d18:1/24:1),HMDB0004883,0.017051629,0.074270757,0.05983889
Hex3Cer(d18:1_22:0),HMDB0004882,0.013068185,0.018764788,0.014729867
HexCer(d16:1/22:0),NA,0.01057825,0.19388588,0.18779721
HexCer(d18:1/16:0),HMDB0004971,0.027938637,1.016353258,0.876404792
HexCer(d18:1/18:0),HMDB0004972,0.018041375,0.456582106,0.279857285
HexCer(d18:1/18:1), HMDB0004970,0.019324201,0.097726742,0.170309708
HexCer(d18:1/20:0),HMDB0004973,0.010930238,0.195450783,0.202525327
HexCer(d18:1/22:0),HMDB0004974,0.019114866,1.394751269,1.288834693
HexCer(d18:1/23:0),NA,0.010842778,0.600438637,0.471335371
HexCer(d18:1/24:0),HMDB0004978,0.032740795,1.970201165,2.062110062
HexCer(d18:1/24:1),     HMDB0004975,0.104481519,1.479190654,1.587102721
HexCer(d18:1/26:0),HMDB0004977,0.03707482,0.598091148,0.483315396
HexCer(d18:1/26:1),HMDB0004976,0.010503958,0.066455698,0.105866542
HexCer(d18:2/16:0),NA,0.010268309,0.093817457,0.088376654
HexCer(d18:2/18:0),NA,0.012362101,0.037525254,0.058918194
HexCer(d18:2/20:0),NA,0.011128164,0.087565409,0.022092891
HexCer(d18:2/22:0),NA,0.010902962,0.256442017,0.220931457
HexCer(d18:2/23:0),NA,0.010698471,0.112580083,0.081011085
HexCer(d18:2/24:0),NA,0.019860327,0.343999862,0.3829549
TG(14:0_32:2),"HMDB0042076, HMDB0042280, HMDB0042281, HMDB0042309, HMDB0042338, HMDB0042368, HMDB0042511",0.119563523,1.858381994,0.667498119
TG(14:0_34:0),"HMDB0042065, HMDB0042124, HMDB0042153, HMDB0042181, HMDB0099287, HMDB0099288, HMDB0099395, HMDB0099396, HMDB0099397, HMDB0099398, HMDB0099399, HMDB0099400, HMDB0099401, HMDB0099402, HMDB0099549, HMDB0099550, HMDB0099551, HMDB0099552, HMDB0099553, HMDB0099554, HMDB0099555, HMDB0099556, HMDB0099557, HMDB0099558, HMDB0099559, HMDB0099560, HMDB0099561, HMDB0099562, HMDB0099563, HMDB0099564, HMDB0099565, HMDB0099566, HMDB0099655, HMDB0099656, HMDB0099657, HMDB0099658, HMDB0099659, HMDB0099660, HMDB0099661, HMDB0099794, HMDB0099795, HMDB0099796, HMDB0099797, HMDB0099798, HMDB0099799, HMDB0099800, HMDB0099801, HMDB0099802, HMDB0099803, HMDB0099804, HMDB0099805, HMDB0099920, HMDB0099921, HMDB0099922, HMDB0099923, HMDB0099924, HMDB0099925, HMDB0099926, HMDB0100049, HMDB0100050, HMDB0100051, HMDB0100052, HMDB0100053, HMDB0100054, HMDB0100055, HMDB0100056, HMDB0100057, HMDB0100058, HMDB0100059, HMDB0100060, HMDB0100061, HMDB0100062, HMDB0100063, HMDB0100064, HMDB0100065, HMDB0100066, HMDB0100188, HMDB0100189, HMDB0100190, HMDB0100191, HMDB0100192, HMDB0100193, HMDB0100194, HMDB0100288, HMDB0100289, HMDB0100290, HMDB0100291, HMDB0100292, HMDB0100293, HMDB0100294, HMDB0100295, HMDB0100296, HMDB0100297, HMDB0100298, HMDB0100299, HMDB0100400, HMDB0100401, HMDB0100402, HMDB0100403, HMDB0100507, HMDB0100508, HMDB0100509, HMDB0100510, HMDB0100511, HMDB0100512, HMDB0100513, HMDB0100514, HMDB0100515, HMDB0100516, HMDB0100517, HMDB0100518, HMDB0100519, HMDB0100520, HMDB0100521, HMDB0100522, HMDB0100523, HMDB0100524, HMDB0100665, HMDB0100666, HMDB0100667, HMDB0100668, HMDB0100669, HMDB0100670, HMDB0100671, HMDB0100672, HMDB0100770, HMDB0100771",0.058315624,0.106627805,0.16868776
TG(14:0_34:1),"HMDB0042072, HMDB0042130, HMDB0042131, HMDB0042159, HMDB0042188, HMDB0042275, HMDB0042304, HMDB0042333, HMDB0042363, HMDB0042391",0.114935814,20.9223598,4.951493358
TG(14:0_34:2),"HMDB0042078, HMDB0042136, HMDB0042282, HMDB0042310, HMDB0042311, HMDB0042339, HMDB0042369, HMDB0042398, HMDB0042513, HMDB0042571",0.249556492,19.32592439,4.214475116
TG(14:0_34:3),"HMDB0042073, HMDB0042079, HMDB0042137, HMDB0042144, HMDB0042288, HMDB0042316, HMDB0042421, HMDB0042519, HMDB0042543, HMDB0042578, HMDB0042601, HMDB0042753",0.08620709,4.948017239,2.338449956
TG(14:0_35:2),"HMDB0042108, HMDB0042572",0.140378313,0.623042215,0.840669087
TG(14:0_36:1),"HMDB0042074, HMDB0042132, HMDB0042160, HMDB0042161, HMDB0042189, HMDB0042218, HMDB0042276, HMDB0042305, HMDB0042334, HMDB0042364, HMDB0042393, HMDB0042451",0.026882478,4.219650042,2.21679409
TG(14:0_36:2),"HMDB0042081, HMDB0042138, HMDB0042166, HMDB0042284, HMDB0042312, HMDB0042340, HMDB0042341, HMDB0042370, HMDB0042371, HMDB0042399, HMDB0042458, HMDB0042514, HMDB0042573",0.118411503,25.45631227,12.02682651
TG(14:0_36:3),"HMDB0042133, HMDB0042139, HMDB0042167, HMDB0042174, HMDB0042291, HMDB0042318, HMDB0042346, HMDB0042376, HMDB0042423, HMDB0042520, HMDB0042521, HMDB0042544, HMDB0042579, HMDB0042603, HMDB0042668, HMDB0042754",0.035490743,29.44472214,9.189560303
TG(14:0_36:4),"HMDB0042082, HMDB0042140, HMDB0042146, HMDB0042175, HMDB0042313, HMDB0042319, HMDB0042347, HMDB0042354, HMDB0042377, HMDB0042384, HMDB0042429, HMDB0042526, HMDB0042550, HMDB0042551, HMDB0042609, HMDB0042633, HMDB0042691, HMDB0042760, HMDB0042761, HMDB0042784, HMDB0042813",0.032477996,10.83002017,3.442114546
TG(14:0_38:4),"HMDB0042142, HMDB0042170, HMDB0042176, HMDB0042205, HMDB0042343, HMDB0042349, HMDB0042373, HMDB0042379, HMDB0042407, HMDB0042414, HMDB0042430, HMDB0042431, HMDB0042528, HMDB0042552, HMDB0042586, HMDB0042610, HMDB0042611, HMDB0042634, HMDB0042693, HMDB0042762, HMDB0042785, HMDB0042814",0.032386386,0.972135853,0.182805483
