Metabolite,HMDB ID,ref,primary,recurrent
5-Hydroxylysine,HMDB0000450,0.178571429,0.1895,0.2341
alpha-Aminobutyric acid,HMDB0000452,0.020869565,23.5,19.69
Adenosine,HMDB0000050,0.003820034,0.02378,0.1124
Asymmetric dimethylarginine,HMDB0001539,0.034883721,0.1562,0.1863
Agmatine,HMDB0001432,0.005524862,0.02387,0.02341
Alanine,HMDB0000161,0.176004693,533.5,201.9
Arginine,HMDB0000517,0.137111517,38.82,70.65
Asparagine,HMDB0000168,0.101971448,31.79,31.91
Aspartic acid,HMDB0000191,0.303030303,7.098,6.172
beta-Alanine,HMDB0000056,0.042253521,1.956,4.076
Betaine,HMDB0000043,0.480769231,25.01,24.69
Choline,HMDB0000097,0.177777778,11.7,5.302
Citrulline,HMDB0000904,0.075566751,16.64,30.84
Creatine,HMDB0000064,0.213068182,50.83,38.96
Creatinine,HMDB0000562,0.326797386,62.93,56.5
Ethanolamine,HMDB0000149,0.043165468,3.617,4.028
Glutamine,HMDB0000641,0.129115558,429.2,439
Glutamic acid,HMDB0000148,0.128534704,52.9,61.23
Glycine,HMDB0000123,0.390015601,322.9,193.9
Guanine,HMDB0000132,0.007211538,0.1381,0.1935
Guanosine,HMDB0000133,0.002788104,0.01784,0.04792
Histidine,HMDB0000177,0.055493896,58.71,63.12
Homoarginine,HMDB0000670,0.006528836,0.4651,0.6814
Hypoxanthine,HMDB0000157,0.162601626,5.812,2.258
Isoleucine,HMDB0000172,0.360576923,40.37,32.21
Indole,HMDB0000738,0.6466,5.203,3.116
Kynurenine,HMDB0000684,0.023677979,0.6339,1.959
Leucine,HMDB0000687,0.255102041,79.37,77.25
Lysine,HMDB0000182,0.404312668,157.4,110
Methionine,HMDB0000696,0.110619469,21.69,15.55
Methionine sulfoxide,HMDB0002005,0.131578947,0.6653,0.4488
Methylhistidine,HMDB0000479,0.09375,17.29,19.63
N1-Acetylspermidine,HMDB0001276,0.020689655,0.09051,0.04814
N-Acetylputrescine,HMDB0002064,0.014423077,0.0519,0.04514
Nudifloramide,HMDB0004193,0.357142857,0.8318,2.117
Ornithine,HMDB0000214,0.058846607,85.4,47.2
Phenylalanine,HMDB0000159,0.044483986,49.39,35
Proline,HMDB0000162,0.694444444,142.8,128
Sarcosine,HMDB0000271,0.029769473,4.654,7.47
Serine,HMDB0000187,0.154479918,78.62,69.84
Taurine,HMDB0000251,0.255972696,23.65,43.83
Threonine,HMDB0000167,0.669642857,157.8,218.7
Thymidine,HMDB0000273,0.032608696,0.1075,0.1358
Trimethylamine N-Oxide,HMDB0000925,0.097345,1.641,1.977
trans-4-Hydroxyproline,HMDB0000725,0.090634441,4.378,5.093
Tryptophan,HMDB0000929,0.033952014,33.34,17.38
Tyrosine,HMDB0000158,0.180722892,51.14,38.2
Uridine,HMDB0000296,0.307692308,2.004,4.36
Valine,HMDB0000883,0.294695481,162.2,152.1
Urea,HMDB0000294,102.3497082,5829,5191
Glucose,HMDB0000122,22.5,5265.832497,5394.723166
LysoPC a C14:0,HMDB0010379,0.129568563,4.994553539,2.294347854
LysoPC a C16:1,HMDB0010383,0.074715726,4.07279382,2.251919483
LysoPC a C16:0,HMDB0010382,0.108457106,99.2438715,47.46257326
LysoPC a C17:0,HMDB0012108,0.016448631,1.558211959,0.763963089
LysoPC a C18:2,HMDB0010386,0.039938529,36.40561783,23.25499353
LysoPC a C18:1,"HMDB0002815, HMDB0010385",0.051835904,23.50327182,19.18417734
LysoPC a C18:0,"HMDB0010384, HMDB0011128",0.053247755,24.21032798,13.52440308
LysoPC a C20:4,"HMDB0010395, HMDB0010396",0.028216263,5.995562486,3.576461496
LysoPC a C20:3,"HMDB0010393, HMDB0010394",0.089458462,4.189823981,2.451476737
LysoPC a C24:0,HMDB0010405,0.037408504,0.08451179,0.082938284
LysoPC a C26:1,HMDB0029220,0.032704833,0.062989443,0.083211948
LysoPC a C26:0,HMDB0029205,0.129241564,0.291328785,0.220076178
LysoPC a C28:1,HMDB0029221,0.051911888,0.225188859,0.21842998
LysoPC a C28:0,HMDB0029206,0.071471194,0.194219021,0.158760425
SM(OH) C14:1,HMDB0013462,0.019036975,7.316686458,6.851528044
SM C16:1,HMDB0240613,0.027493412,21.03677252,22.49867873
SM C16:0,HMDB0010169,0.10224336,116.901026,128.9563634
SM(OH) C16:1,HMDB0013463,0.031493413,4.295042429,4.275374194
SM C18:1,"HMDB0012100, HMDB0012101",0.032976348,16.35551536,14.08636715
PC aa C32:2,"HMDB0007874, HMDB0008002",0.074222957,6.38445875,5.903925563
SM C18:0,HMDB0001348,0.127410881,32.81626327,31.76911465
SM C20:2,HMDB0013465,0.007091955,1.260339573,0.964216584
PC ae C36:0,"HMDB0013406, HMDB0013417",0.047689232,1.461379724,1.982619046
PC aa C36:6,"HMDB0008690, HMDB0007892",0.033219142,0.860171469,0.871087159
PC aa C36:0,"HMDB0007886, HMDB0007977",0.158568507,6.833692351,9.550299243
SM(OH) C22:2,HMDB0013467,0.020824121,11.99752286,11.63007333
SM(OH) C22:1,HMDB0013466,0.0226994,10.82151607,14.58825379
PC aa C38:6,"HMDB0007991, HMDB0008083",0.054512397,39.02331128,59.96807328
PC aa C38:0,"HMDB0007893, HMDB0007985",0.036871645,1.405146418,2.321246706
PC ae C40:6,HMDB0013422,0.0358497,2.486252338,3.091304077
SM(OH) C24:1,HMDB0013469,0.021105628,1.332752304,2.081681561
PC aa C40:6,"HMDB0008057, HMDB0008089",0.047022639,11.99792831,16.48835788
